source_run,source_artifact,model_identifier,family,split,plan_id,edit_method,case_id,status,target_layer,edit_success,candidate_version,selected_layer,score,margin,localized_layer,presence_peak_layer,B0,B1,B2
rome-math-n50-deepseek-7b-base-v1,analysis_out/rome-math-n50-deepseek-7b-base-v1/plans/deepseek-7b-base/cases0-49_r01/methods/rome/captures/rome-math-ablation.json,deepseek-7b-base,deepseek,development,cases0-49_r01,rome,0,complete,5,True,M0,5,0.08669508248567581,0.041992709040641785,5,5,True,not_evaluated_uncalibrated,True
rome-math-n50-deepseek-7b-base-v1,analysis_out/rome-math-n50-deepseek-7b-base-v1/plans/deepseek-7b-base/cases0-49_r01/methods/rome/captures/rome-math-ablation.json,deepseek-7b-base,deepseek,development,cases0-49_r01,rome,0,complete,5,True,M1,5,0.08594760298728943,0.04295220971107483,5,5,True,not_evaluated_uncalibrated,True
rome-math-n50-deepseek-7b-base-v1,analysis_out/rome-math-n50-deepseek-7b-base-v1/plans/deepseek-7b-base/cases0-49_r01/methods/rome/captures/rome-math-ablation.json,deepseek-7b-base,deepseek,development,cases0-49_r01,rome,0,complete,5,True,M2,5,182.10560361426667,178.92154067122388,5,5,True,not_evaluated_uncalibrated,True
rome-math-n50-deepseek-7b-base-v1,analysis_out/rome-math-n50-deepseek-7b-base-v1/plans/deepseek-7b-base/cases0-49_r01/methods/rome/captures/rome-math-ablation.json,deepseek-7b-base,deepseek,development,cases0-49_r01,rome,0,complete,5,True,M3,5,321.3453369140625,316.8118815422058,5,5,True,not_evaluated_uncalibrated,True
rome-math-n50-deepseek-7b-base-v1,analysis_out/rome-math-n50-deepseek-7b-base-v1/plans/deepseek-7b-base/cases0-49_r01/methods/rome/captures/rome-math-ablation.json,deepseek-7b-base,deepseek,development,cases0-49_r01,rome,0,complete,5,True,M0_raw,5,4380.2294921875,2130.197265625,5,5,True,not_evaluated_uncalibrated,True
rome-math-n50-deepseek-7b-base-v1,analysis_out/rome-math-n50-deepseek-7b-base-v1/plans/deepseek-7b-base/cases0-49_r01/methods/rome/captures/rome-math-ablation.json,deepseek-7b-base,deepseek,development,cases0-49_r01,rome,0,complete,5,True,M1_raw,5,4345.19921875,2171.745361328125,5,5,True,not_evaluated_uncalibrated,True
rome-math-n50-deepseek-7b-base-v1,analysis_out/rome-math-n50-deepseek-7b-base-v1/plans/deepseek-7b-base/cases0-49_r01/methods/rome/captures/rome-math-ablation.json,deepseek-7b-base,deepseek,development,cases0-49_r01,rome,1,complete,5,True,M0,5,0.055662695318460464,0.025774434208869934,5,5,True,not_evaluated_uncalibrated,True
rome-math-n50-deepseek-7b-base-v1,analysis_out/rome-math-n50-deepseek-7b-base-v1/plans/deepseek-7b-base/cases0-49_r01/methods/rome/captures/rome-math-ablation.json,deepseek-7b-base,deepseek,development,cases0-49_r01,rome,1,complete,5,True,M1,5,0.05445395037531853,0.02718907594680786,5,5,True,not_evaluated_uncalibrated,True
rome-math-n50-deepseek-7b-base-v1,analysis_out/rome-math-n50-deepseek-7b-base-v1/plans/deepseek-7b-base/cases0-49_r01/methods/rome/captures/rome-math-ablation.json,deepseek-7b-base,deepseek,development,cases0-49_r01,rome,1,complete,5,True,M2,5,111.46205690963144,108.27799396658865,5,5,True,not_evaluated_uncalibrated,True
rome-math-n50-deepseek-7b-base-v1,analysis_out/rome-math-n50-deepseek-7b-base-v1/plans/deepseek-7b-base/cases0-49_r01/methods/rome/captures/rome-math-ablation.json,deepseek-7b-base,deepseek,development,cases0-49_r01,rome,1,complete,5,True,M3,5,204.02244567871094,199.48899030685425,5,5,True,not_evaluated_uncalibrated,True
